"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/05/24 16:31:00,-888.88,49.77,40.97,33.09
01/05/24 16:32:00,-888.88,49.26,40.79,32.79
01/05/24 16:33:00,-888.88,49.32,40.66,32.93
01/05/24 16:34:00,-888.88,49.01,40.54,32.73
01/05/24 16:35:00,-888.88,48.84,40.44,32.74
01/05/24 16:36:00,-888.88,48.83,40.32,32.54
01/05/24 16:37:00,-888.88,48.75,40.15,32.59
01/05/24 16:38:00,-888.88,48.41,40.03,32.53
01/05/24 16:39:00,-888.88,48.20,39.93,32.33
01/05/24 16:40:00,-888.88,47.84,39.76,32.07
01/05/24 16:41:00,-888.88,47.60,39.58,31.96
01/05/24 16:42:00,-888.88,47.45,39.43,31.83
01/05/24 16:43:00,-888.88,47.41,39.32,31.71
01/05/24 16:44:00,-888.88,46.93,39.10,31.60
01/05/24 16:45:00,-888.88,46.33,38.86,31.42
01/05/24 16:46:00,-888.88,46.75,38.76,31.50
01/05/24 16:47:00,-888.88,46.42,38.54,31.16
01/05/24 16:48:00,-888.88,46.50,38.39,31.29
01/05/24 16:49:00,-888.88,46.35,38.25,31.24
01/05/24 16:50:00,-888.88,46.17,38.11,31.04
01/05/24 16:51:00,-888.88,45.53,37.98,30.93
01/05/24 16:52:00,-888.88,45.23,37.94,30.66
01/05/24 16:53:00,-888.88,45.00,37.69,30.53
01/05/24 16:54:00,-888.88,44.98,37.50,30.50
01/05/24 16:55:00,-888.88,45.25,37.35,30.39
01/05/24 16:56:00,-888.88,44.99,37.31,30.43
01/05/24 16:57:00,-888.88,45.05,37.18,30.28
01/05/24 16:58:00,-888.88,44.97,37.01,30.31
01/05/24 16:59:00,-888.88,44.62,36.89,30.35
01/05/24 17:00:00,-888.88,44.49,36.77,30.36
01/05/24 17:01:00,-888.88,44.06,36.72,30.24
01/05/24 17:02:00,-888.88,43.86,36.55,30.05
01/05/24 17:03:00,-888.88,43.83,36.41,30.03
01/05/24 17:04:00,-888.88,43.73,36.33,29.87
01/05/24 17:05:00,-888.88,43.88,36.29,29.98
01/05/24 17:06:00,-888.88,43.46,36.14,29.84
01/05/24 17:07:00,-888.88,43.60,36.06,29.86
01/05/24 17:08:00,-888.88,43.26,35.95,29.67
01/05/24 17:09:00,-888.88,42.65,35.84,29.47
01/05/24 17:10:00,-888.88,42.36,35.74,29.34
01/05/24 17:11:00,-888.88,42.80,35.60,29.35
01/05/24 17:12:00,-888.88,42.29,35.51,29.17
01/05/24 17:13:00,-888.88,42.38,35.28,29.11
01/05/24 17:14:00,-888.88,42.39,35.22,29.12
01/05/24 17:15:00,-888.88,41.99,35.11,28.93
01/05/24 17:16:00,-888.88,41.77,34.91,28.81
01/05/24 17:17:00,-888.88,41.77,34.84,28.78
01/05/24 17:18:00,-888.88,41.71,34.71,28.78
01/05/24 17:19:00,-888.88,41.46,34.62,28.57
01/05/24 17:20:00,-888.88,41.49,34.54,28.49
01/05/24 17:21:00,-888.88,41.24,34.35,28.41
01/05/24 17:22:00,-888.88,40.89,34.28,28.33
01/05/24 17:23:00,-888.88,40.45,34.18,28.12
01/05/24 17:24:00,-888.88,40.60,33.98,28.08
01/05/24 17:25:00,-888.88,40.69,33.87,28.20
01/05/24 17:26:00,-888.88,40.52,33.70,28.04
01/05/24 17:27:00,-888.88,40.30,33.59,28.06
01/05/24 17:28:00,-888.88,39.94,33.46,27.82
01/05/24 17:29:00,-888.88,39.82,33.32,27.77
01/05/24 17:30:00,-888.88,39.84,33.22,27.78
01/05/24 17:31:00,-888.88,39.54,33.13,27.37
01/05/24 17:32:00,-888.88,39.33,32.97,27.28
01/05/24 17:33:00,-888.88,39.08,32.77,27.07
01/05/24 17:34:00,-888.88,38.48,32.63,26.89
01/05/24 17:35:00,-888.88,37.98,32.44,26.75
01/05/24 17:36:00,-888.88,38.05,32.22,26.63
01/05/24 17:37:00,-888.88,38.16,32.15,26.51
01/05/24 17:38:00,-888.88,38.23,31.96,26.52
01/05/24 17:39:00,-888.88,38.22,31.82,26.56
01/05/24 17:40:00,-888.88,37.52,31.75,26.34
01/05/24 17:41:00,-888.88,37.28,31.56,26.28
01/05/24 17:42:00,-888.88,37.32,31.43,26.24
01/05/24 17:43:00,-888.88,37.18,31.36,26.13
01/05/24 17:44:00,-888.88,37.20,31.21,26.09
01/05/24 17:45:00,-888.88,37.16,31.11,26.02
01/05/24 17:46:00,-888.88,36.95,31.05,25.95
01/05/24 17:47:00,-888.88,36.53,31.00,25.95
01/05/24 17:48:00,-888.88,36.35,30.85,25.76
01/05/24 17:49:00,-888.88,36.30,30.80,25.77
01/05/24 17:50:00,-888.88,36.70,30.66,25.81
01/05/24 17:51:00,-888.88,36.37,30.60,25.69
01/05/24 17:52:00,-888.88,36.27,30.59,25.64
01/05/24 17:53:00,-888.88,36.34,30.52,25.73
01/05/24 17:54:00,-888.88,36.17,30.43,25.81
01/05/24 17:55:00,-888.88,35.98,30.35,25.67
01/05/24 17:56:00,-888.88,36.10,30.22,25.63
01/05/24 17:57:00,-888.88,35.90,30.21,25.59
01/05/24 17:58:00,-888.88,35.43,30.14,25.47
01/05/24 17:59:00,-888.88,35.67,30.03,25.53
01/05/24 18:00:00,-888.88,35.67,29.94,25.60
01/05/24 18:01:00,-888.88,35.38,29.94,25.49
01/05/24 18:02:00,-888.88,35.41,29.83,25.54
01/05/24 18:03:00,-888.88,35.18,29.76,25.38
01/05/24 18:04:00,-888.88,35.08,29.66,25.43
01/05/24 18:05:00,-888.88,34.95,29.65,25.28
01/05/24 18:06:00,-888.88,34.77,29.53,25.32
01/05/24 18:07:00,-888.88,34.56,29.36,25.25
01/05/24 18:08:00,-888.88,34.46,29.37,25.08
01/05/24 18:09:00,-888.88,34.30,29.15,25.05
01/05/24 18:10:00,-888.88,34.14,29.08,24.93
01/05/24 18:11:00,-888.88,34.00,29.02,24.79
01/05/24 18:12:00,-888.88,33.73,28.84,24.68
01/05/24 18:13:00,-888.88,33.33,28.73,24.55
01/05/24 18:14:00,-888.88,33.43,28.56,24.55
01/05/24 18:15:00,-888.88,33.36,28.45,24.48
01/05/24 18:16:00,-888.88,33.15,28.36,24.27
01/05/24 18:17:00,-888.88,32.93,28.23,24.29
01/05/24 18:18:00,-888.88,32.89,28.09,24.12
01/05/24 18:19:00,-888.88,32.74,28.02,24.12
01/05/24 18:20:00,-888.88,32.59,27.83,23.97
01/05/24 18:21:00,-888.88,32.38,27.73,23.84
01/05/24 18:22:00,-888.88,32.25,27.66,23.76
01/05/24 18:23:00,-888.88,32.16,27.55,23.74
01/05/24 18:24:00,-888.88,31.68,27.39,23.55
01/05/24 18:25:00,-888.88,31.68,27.26,23.48
01/05/24 18:26:00,-888.88,31.69,27.16,23.43
01/05/24 18:27:00,-888.88,31.58,26.99,23.15
01/05/24 18:28:00,-888.88,31.39,26.85,23.13
01/05/24 18:29:00,-888.88,31.25,26.74,23.14
01/05/24 18:30:00,-888.88,31.16,26.65,22.97
01/05/24 18:31:00,-888.88,30.88,26.50,22.85
01/05/24 18:32:00,-888.88,30.74,26.36,22.68
01/05/24 18:33:00,-888.88,30.68,26.26,22.74
01/05/24 18:34:00,-888.88,30.50,26.12,22.56
01/05/24 18:35:00,-888.88,30.52,26.08,22.57
01/05/24 18:36:00,-888.88,30.36,25.90,22.51
01/05/24 18:37:00,-888.88,30.31,25.90,22.46
01/05/24 18:38:00,-888.88,30.08,25.70,22.36
01/05/24 18:39:00,-888.88,29.95,25.70,22.30
01/05/24 18:40:00,-888.88,29.84,25.56,22.29
01/05/24 18:41:00,-888.88,29.83,25.56,22.17
01/05/24 18:42:00,-888.88,29.56,25.43,22.09
01/05/24 18:43:00,-888.88,29.50,25.26,21.99
01/05/24 18:44:00,-888.88,29.30,25.18,21.91
01/05/24 18:45:00,-888.88,29.24,25.06,21.85
01/05/24 18:46:00,-888.88,29.18,24.97,21.82
01/05/24 18:47:00,-888.88,29.14,24.91,21.76
01/05/24 18:48:00,-888.88,29.16,24.83,21.78
01/05/24 18:49:00,-888.88,28.97,24.73,21.76
01/05/24 18:50:00,-888.88,28.92,24.64,21.80
01/05/24 18:51:00,-888.88,28.71,24.60,21.66
01/05/24 18:52:00,-888.88,28.62,24.52,21.60
01/05/24 18:53:00,-888.88,28.52,24.45,21.59
01/05/24 18:54:00,-888.88,28.40,24.36,21.57
01/05/24 18:55:00,-888.88,28.34,24.35,21.46
01/05/24 18:56:00,-888.88,28.27,24.26,21.50
01/05/24 18:57:00,-888.88,28.06,24.22,21.47
01/05/24 18:58:00,-888.88,28.00,24.08,21.38
01/05/24 18:59:00,-888.88,27.98,24.07,21.23
01/05/24 19:00:00,-888.88,27.94,23.94,21.22
01/05/24 19:01:00,-888.88,27.69,23.92,21.19
01/05/24 19:02:00,-888.88,27.75,23.85,21.22
01/05/24 19:03:00,-888.88,27.60,23.76,21.12
01/05/24 19:04:00,-888.88,27.41,23.74,21.06
01/05/24 19:05:00,-888.88,27.42,23.73,21.10
01/05/24 19:06:00,-888.88,27.28,23.57,21.04
