"Fecha Tiempo, GMT-05:00","Radiación solar, W/m² (SEN S/N: 21186630, LBL: Radiacion solar)","Velocidad del viento, m/s (SEN S/N: 21212948, LBL: Velocidad del viento)","Velocidad de Ráfagas, m/s (SEN S/N: 21212948, LBL: Ráfaga)","Dirección del viento, ø (SEN S/N: 21212948, LBL: Dirección del viento)","Temperatura, *C (SEN S/N: 21238162, LBL: Temperatura ambiente)","HR, % (SEN S/N: 21238162, LBL: Humedad Relativa)","Recuentos, # (SEN S/N: 21247339, LBL: Pluviometro ( lluvia))","Presión, mbar (SEN S/N: 21569219, LBL: presión atmosférica)"
01/29/24 10:57:02,933.1,0.67,2.34,290.6,29.2043,51.2490,,950.950
01/29/24 10:58:02,935.6,0.67,1.34,315.9,29.3383,50.4982,0.00,950.850
01/29/24 10:59:02,938.1,0.67,1.34,4.2,29.5582,50.9010,0.00,950.850
01/29/24 11:00:02,936.9,0.67,1.00,339.7,29.8236,48.9479,0.00,950.950
01/29/24 11:01:02,935.6,0.00,0.33,342.6,29.7646,49.1127,0.00,950.850
01/29/24 11:02:02,935.6,0.67,1.00,146.0,29.7432,49.8497,0.00,950.850
01/29/24 11:03:02,936.9,0.33,0.67,126.4,29.3919,50.1183,0.00,950.850
01/29/24 11:04:02,938.1,0.33,1.00,126.4,29.5206,49.5415,0.00,950.850
01/29/24 11:05:02,940.6,0.33,1.00,171.3,29.4402,51.3146,0.00,950.750
01/29/24 11:06:02,940.6,1.00,1.67,278.0,29.4214,50.0572,0.00,950.750
01/29/24 11:07:02,941.9,0.67,1.34,308.9,29.6091,49.3751,0.00,950.750
01/29/24 11:08:02,943.1,1.00,2.00,313.1,29.7726,48.9830,0.00,950.750
01/29/24 11:09:02,943.1,1.34,2.00,313.1,29.6520,48.8579,0.00,950.750
01/29/24 11:10:02,944.4,0.67,1.34,352.4,29.3678,50.0389,0.00,950.750
01/29/24 11:11:02,945.6,0.67,1.00,314.5,29.5635,50.2647,0.00,950.750
01/29/24 11:12:02,946.9,0.67,1.00,308.9,29.9013,49.1463,0.00,950.750
01/29/24 11:13:02,946.9,0.33,0.67,233.1,30.2954,48.6900,0.00,950.750
01/29/24 11:14:02,949.4,0.67,1.00,263.9,30.6198,47.9576,0.00,950.750
01/29/24 11:15:02,950.6,0.67,1.34,247.1,30.5180,47.2206,0.00,950.750
01/29/24 11:16:02,953.1,0.33,1.00,303.2,30.4214,47.6371,0.00,950.750
01/29/24 11:17:02,953.1,0.67,1.00,141.8,30.1855,48.1727,0.00,950.750
01/29/24 11:18:02,953.1,0.33,0.67,168.5,29.7378,48.8212,0.00,950.650
01/29/24 11:19:02,954.4,0.67,1.34,147.4,29.5501,50.6661,0.00,950.650
01/29/24 11:20:02,954.4,0.33,0.33,113.7,29.4161,49.8741,0.00,950.650
01/29/24 11:21:02,955.6,0.67,1.34,345.4,29.5716,49.8497,0.00,950.650
01/29/24 11:22:02,955.6,1.00,1.34,301.8,29.8558,48.9647,0.00,950.650
01/29/24 11:23:02,956.9,0.67,1.34,315.9,29.9898,48.5557,0.00,950.650
01/29/24 11:24:02,956.9,1.00,1.67,339.7,30.1212,48.2780,0.00,950.650
01/29/24 11:25:02,956.9,1.00,1.34,352.4,30.2365,47.9408,0.00,950.650
01/29/24 11:26:02,956.9,0.67,1.34,355.2,30.3759,47.8965,0.00,950.650
01/29/24 11:27:02,955.6,1.00,2.34,334.1,30.4536,47.5731,0.00,950.550
01/29/24 11:28:02,956.9,0.67,1.34,344.0,30.5716,48.0049,0.00,950.550
