"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3C)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
01/05/24 16:34:00,53.68,49.11,40.26,32.23
01/05/24 16:35:00,53.55,48.98,40.16,32.25
01/05/24 16:36:00,53.39,49.08,40.11,32.20
01/05/24 16:37:00,53.24,48.80,40.02,32.17
01/05/24 16:38:00,53.06,48.81,39.90,32.14
01/05/24 16:39:00,52.88,48.41,39.80,32.02
01/05/24 16:40:00,52.70,48.18,39.69,31.81
01/05/24 16:41:00,52.51,48.00,39.53,31.79
01/05/24 16:42:00,52.34,48.13,39.45,31.64
01/05/24 16:43:00,52.17,47.97,39.41,31.60
01/05/24 16:44:00,52.02,47.68,39.26,31.51
01/05/24 16:45:00,51.77,47.19,39.10,31.24
01/05/24 16:46:00,51.62,47.40,38.95,31.28
01/05/24 16:47:00,51.43,47.00,38.81,31.12
01/05/24 16:48:00,51.29,47.04,38.74,31.21
01/05/24 16:49:00,51.10,46.67,38.62,31.08
01/05/24 16:50:00,50.91,46.69,38.50,31.06
01/05/24 16:51:00,50.74,46.42,38.41,30.92
01/05/24 16:52:00,50.53,45.94,38.25,30.63
01/05/24 16:53:00,50.31,45.88,38.07,30.49
01/05/24 16:54:00,50.21,45.80,37.97,30.48
01/05/24 16:55:00,50.02,45.66,37.82,30.30
01/05/24 16:56:00,49.85,45.68,37.69,30.41
01/05/24 16:57:00,49.69,45.51,37.57,30.32
01/05/24 16:58:00,49.50,45.52,37.45,30.32
01/05/24 16:59:00,49.37,45.37,37.39,30.40
01/05/24 17:00:00,49.23,45.27,37.26,30.39
01/05/24 17:01:00,49.01,44.92,37.17,30.18
01/05/24 17:02:00,48.87,44.62,37.07,29.96
01/05/24 17:03:00,48.73,44.78,36.99,29.95
01/05/24 17:04:00,48.55,44.36,36.86,29.87
01/05/24 17:05:00,48.48,44.61,36.80,30.00
01/05/24 17:06:00,48.37,44.39,36.68,29.87
01/05/24 17:07:00,48.21,44.40,36.63,29.88
01/05/24 17:08:00,48.05,43.77,36.52,29.77
01/05/24 17:09:00,47.84,43.60,36.38,29.55
01/05/24 17:10:00,47.74,43.37,36.29,29.29
01/05/24 17:11:00,47.61,43.50,36.17,29.33
01/05/24 17:12:00,47.40,43.21,35.98,29.13
01/05/24 17:13:00,47.23,43.25,35.86,29.08
01/05/24 17:14:00,47.08,43.21,35.80,29.25
01/05/24 17:15:00,46.88,42.82,35.68,28.93
01/05/24 17:16:00,46.73,42.71,35.63,28.90
01/05/24 17:17:00,46.55,42.51,35.48,28.71
01/05/24 17:18:00,46.38,42.38,35.36,28.62
01/05/24 17:19:00,46.25,42.22,35.20,28.59
01/05/24 17:20:00,46.08,42.33,35.13,28.56
01/05/24 17:21:00,45.87,41.79,34.98,28.40
01/05/24 17:22:00,45.70,41.64,34.85,28.38
01/05/24 17:23:00,45.52,41.23,34.73,28.16
01/05/24 17:24:00,45.26,41.39,34.58,28.07
01/05/24 17:25:00,45.09,41.21,34.47,28.05
01/05/24 17:26:00,44.88,41.17,34.33,28.06
01/05/24 17:27:00,44.68,40.88,34.18,28.00
01/05/24 17:28:00,44.49,40.63,34.05,27.80
01/05/24 17:29:00,44.29,40.65,33.99,27.78
01/05/24 17:30:00,44.11,40.58,33.83,27.79
01/05/24 17:31:00,43.86,40.17,33.64,27.46
01/05/24 17:32:00,43.68,40.01,33.52,27.37
01/05/24 17:33:00,43.46,39.62,33.37,27.13
01/05/24 17:34:00,43.23,39.35,33.23,26.91
01/05/24 17:35:00,43.01,38.98,33.02,26.70
01/05/24 17:36:00,42.79,39.10,32.84,26.65
01/05/24 17:37:00,42.62,39.14,32.70,26.61
01/05/24 17:38:00,42.49,39.06,32.57,26.58
01/05/24 17:39:00,42.37,39.03,32.47,26.61
01/05/24 17:40:00,42.18,38.55,32.32,26.38
01/05/24 17:41:00,41.97,38.39,32.24,26.33
01/05/24 17:42:00,41.85,38.28,32.13,26.30
01/05/24 17:43:00,41.70,38.02,32.00,26.17
01/05/24 17:44:00,41.55,38.11,31.86,26.11
01/05/24 17:45:00,41.41,37.92,31.75,26.01
01/05/24 17:46:00,41.33,37.76,31.71,25.98
01/05/24 17:47:00,41.20,37.70,31.59,25.92
01/05/24 17:48:00,41.05,37.33,31.52,25.80
01/05/24 17:49:00,40.93,37.45,31.38,25.75
01/05/24 17:50:00,40.90,37.48,31.31,25.83
01/05/24 17:51:00,40.73,37.35,31.24,25.78
01/05/24 17:52:00,40.65,37.24,31.13,25.72
01/05/24 17:53:00,40.55,37.28,31.08,25.83
01/05/24 17:54:00,40.40,37.13,31.03,25.81
