"Fecha Tiempo, GMT-05:00","Radiación solar, W/m² (SEN S/N: 21186630, LBL: Radiacion solar)","Velocidad del viento, m/s (SEN S/N: 21212948, LBL: Velocidad del viento)","Velocidad de Ráfagas, m/s (SEN S/N: 21212948, LBL: Ráfaga)","Dirección del viento, ø (SEN S/N: 21212948, LBL: Dirección del viento)","Temperatura, *C (SEN S/N: 21238162, LBL: Temperatura ambiente)","HR, % (SEN S/N: 21238162, LBL: Humedad Relativa)","Recuentos, # (SEN S/N: 21247339, LBL: Pluviometro ( lluvia))","Presión, mbar (SEN S/N: 21569219, LBL: presión atmosférica)"
12/21/23 12:30:02,990.6,0.00,1.67,120.7,27.0380,50.7332,,948.650
12/21/23 12:31:02,988.1,0.67,1.00,105.3,27.0085,51.1864,0.00,948.550
12/21/23 12:32:02,990.6,0.67,1.67,126.4,27.3195,50.9911,0.00,948.450
12/21/23 12:33:02,990.6,1.00,2.00,119.3,27.4375,50.0481,0.00,948.450
12/21/23 12:34:02,989.4,0.67,1.67,28.1,27.4589,50.2419,0.00,948.450
12/21/23 12:35:02,990.6,0.67,1.34,314.5,27.8396,49.8604,0.00,948.450
12/21/23 12:36:02,990.6,1.00,2.00,325.7,28.1560,49.1737,0.00,948.450
12/21/23 12:37:02,986.9,0.67,1.34,320.1,28.3839,48.4428,0.00,948.450
12/21/23 12:38:02,989.4,1.00,1.67,325.7,28.6949,47.4113,0.00,948.450
12/21/23 12:39:02,989.4,0.67,1.67,251.3,28.6922,46.8116,0.00,948.450
12/21/23 12:40:02,989.4,0.67,1.34,99.7,28.5528,47.3930,0.00,948.450
12/21/23 12:41:02,989.4,0.67,1.34,308.9,28.5769,47.3625,0.00,948.450
12/21/23 12:42:02,989.4,1.00,2.00,165.7,28.4536,47.7348,0.00,948.450
12/21/23 12:43:02,989.4,0.67,1.34,336.9,28.5045,48.4993,0.00,948.350
12/21/23 12:44:02,986.9,1.34,2.00,322.9,28.7324,47.4464,0.00,948.350
12/21/23 12:45:02,981.9,0.67,2.00,2.8,28.6895,48.6641,0.00,948.350
12/21/23 12:46:02,978.1,0.67,1.34,57.6,28.8960,47.7043,0.00,948.350
12/21/23 12:47:02,975.6,1.00,1.67,241.5,28.8960,46.2867,0.00,948.350
12/21/23 12:48:02,978.1,0.33,0.67,223.2,28.6332,46.8727,0.00,948.350
12/21/23 12:49:02,976.9,0.33,0.67,255.5,28.5662,47.7638,0.00,948.350
12/21/23 12:50:02,974.4,0.67,1.34,294.8,28.7002,47.3075,0.00,948.350
12/21/23 12:51:02,973.1,0.67,1.00,308.9,28.9094,47.2511,0.00,948.250
12/21/23 12:52:02,973.1,0.67,1.34,179.7,29.1372,46.2699,0.00,948.250
12/21/23 12:53:02,971.9,1.00,1.67,275.2,29.1480,46.1784,0.00,948.250
12/21/23 12:54:02,968.1,1.00,2.00,293.4,28.9254,46.6606,0.00,948.250
12/21/23 12:55:02,966.9,0.67,1.00,258.3,28.7431,46.9078,0.00,948.250
12/21/23 12:56:02,968.1,0.67,1.00,237.3,28.5850,47.3350,0.00,948.150
12/21/23 12:57:02,970.6,0.33,1.34,318.7,28.6225,47.0710,0.00,948.150
12/21/23 12:58:02,971.9,0.67,1.34,276.6,28.7029,47.1092,0.00,948.150
12/21/23 12:59:02,971.9,0.33,0.67,249.9,28.7297,46.7445,0.00,948.150
12/21/23 13:00:02,968.1,0.67,1.34,279.4,28.9389,46.8406,0.00,948.150
12/21/23 13:01:02,965.6,0.67,1.34,331.3,28.9871,46.6499,0.00,948.150
12/21/23 13:02:02,961.9,1.67,2.34,341.2,28.8986,46.7109,0.00,948.150
12/21/23 13:03:02,958.1,0.67,1.00,314.5,28.7056,46.8421,0.00,948.150
12/21/23 13:04:02,955.6,0.67,1.67,220.4,28.5608,47.3564,0.00,948.050
12/21/23 13:05:02,949.4,0.33,1.00,242.9,28.5153,47.7470,0.00,948.050
12/21/23 13:06:02,948.1,0.67,1.34,334.1,28.6520,47.4861,0.00,948.050
12/21/23 13:07:02,946.9,0.33,0.67,355.2,28.9147,46.7430,0.00,947.950
12/21/23 13:08:02,933.1,0.33,1.00,314.5,29.0756,46.5339,0.00,947.950
12/21/23 13:09:02,931.9,0.67,1.34,310.3,29.2257,46.4271,0.00,947.950
12/21/23 13:10:02,936.9,0.33,1.34,334.1,29.3115,46.4927,0.00,947.950
12/21/23 13:11:02,935.6,1.00,2.00,113.7,29.3839,45.8045,0.00,947.950
12/21/23 13:12:02,934.4,1.00,1.34,205.0,28.9469,46.7201,0.00,947.950
12/21/23 13:13:02,933.1,1.00,1.67,126.4,28.7592,47.2755,0.00,947.950
12/21/23 13:14:02,930.6,1.00,1.67,341.2,28.6708,47.6478,0.00,947.950
12/21/23 13:15:02,925.6,1.00,1.67,296.2,28.8263,46.9718,0.00,947.850
12/21/23 13:16:02,923.1,0.67,1.00,294.8,28.9201,47.2892,0.00,947.850
12/21/23 13:17:02,921.9,0.67,1.34,342.6,29.1533,46.6377,0.00,947.850
12/21/23 13:18:02,923.1,0.67,1.00,1.4,29.2070,46.7369,0.00,947.850
12/21/23 13:19:02,923.1,0.67,1.00,324.3,29.3222,45.9220,0.00,947.850
12/21/23 13:20:02,921.9,0.33,0.67,322.9,29.2606,46.3157,0.00,947.850
12/21/23 13:21:02,918.1,1.00,2.00,155.8,29.2177,46.0533,0.00,947.850
12/21/23 13:22:02,915.6,0.67,1.34,85.6,28.5608,47.7028,0.00,947.750
12/21/23 13:23:02,913.1,1.00,1.34,255.5,28.4456,47.9561,0.00,947.750
12/21/23 13:24:02,911.9,1.34,2.34,169.9,28.4080,47.9332,0.00,947.750
12/21/23 13:25:02,910.6,0.67,1.34,231.6,27.9549,48.7495,0.00,947.650
12/21/23 13:26:02,910.6,1.00,1.34,308.9,27.8504,49.4133,0.00,947.650
12/21/23 13:27:02,908.1,1.00,1.34,318.7,28.1640,49.1676,0.00,947.650
