"Fecha Tiempo, GMT-05:00","Radiación solar, W/m² (SEN S/N: 21186630, LBL: Radiacion solar)","Velocidad del viento, m/s (SEN S/N: 21212948, LBL: Velocidad del viento)","Velocidad de Ráfagas, m/s (SEN S/N: 21212948, LBL: Ráfaga)","Dirección del viento, ø (SEN S/N: 21212948, LBL: Dirección del viento)","Temperatura, *C (SEN S/N: 21238162, LBL: Temperatura ambiente)","HR, % (SEN S/N: 21238162, LBL: Humedad Relativa)","Recuentos, # (SEN S/N: 21247339, LBL: Pluviometro ( lluvia))","Presión, mbar (SEN S/N: 21569219, LBL: presión atmosférica)"
01/12/24 09:00:02,648.1,0.67,1.67,226.0,25.2150,59.8383,,951.150
01/12/24 09:01:02,649.4,0.33,0.67,304.7,25.2176,60.1389,0.00,951.050
01/12/24 09:02:02,649.4,0.67,1.00,307.5,25.3436,59.9756,0.00,951.050
01/12/24 09:03:02,653.1,0.33,0.67,335.5,25.5823,59.7208,0.00,951.050
01/12/24 09:04:02,658.1,0.33,0.67,348.2,25.8423,58.4863,0.00,951.050
01/12/24 09:05:02,660.6,0.67,1.00,164.3,25.9120,57.9904,0.00,951.050
01/12/24 09:06:02,665.6,0.33,1.00,249.9,25.7243,58.4146,0.00,951.050
01/12/24 09:07:02,673.1,0.33,1.67,280.8,25.7619,58.2010,0.00,951.050
01/12/24 09:08:02,664.4,1.00,2.00,139.0,25.6654,58.2864,0.00,950.950
01/12/24 09:09:02,671.9,0.67,1.67,174.1,25.3249,59.5132,0.00,950.950
01/12/24 09:10:02,683.1,1.00,1.67,235.9,25.2981,59.6033,0.00,950.950
01/12/24 09:11:02,685.6,0.67,1.00,137.6,25.2445,59.7650,0.00,950.950
01/12/24 09:12:02,684.4,0.33,1.00,299.0,25.1721,60.3357,0.00,950.950
01/12/24 09:13:02,688.1,0.33,1.00,189.5,25.4294,59.4018,0.00,950.950
01/12/24 09:14:02,696.9,0.67,1.34,278.0,25.6144,58.9639,0.00,950.950
01/12/24 09:15:02,701.9,0.67,1.00,315.9,25.7565,58.5214,0.00,950.950
01/12/24 09:16:02,703.1,0.33,1.00,355.2,25.8504,57.9263,0.00,950.850
01/12/24 09:17:02,706.9,0.67,1.00,199.4,25.8879,58.0453,0.00,950.950
01/12/24 09:18:02,708.1,0.67,0.67,231.6,25.7431,58.4375,0.00,950.850
